invoice_id,subscription_id,customer_id,amount_due,currency,period_start,period_end
inv_01KMVAN0B07MXHTW78MCCBZDW0,subs_01KMV65TDAJACYPEWJG02Q3369,cust_01KMV65M19TDSYSH2H8EHBNYTN,23313.43,usd,2026-03-28T21:39:00Z,2026-04-01T00:00:00Z
inv_01KMVAN356RZ4F2XJFTMB1Q44T,subs_01KMV654415X1MFV48A8B1C3EY,cust_01KMV64XCM42Q7W6D9BHY5KCRJ,190,usd,2026-03-28T21:38:37Z,2026-04-01T00:00:00Z
inv_01KMVAN5PZBP5VSVMX0TXH0CBZ,subs_01KMV64H8XPPR19EHDMHHWBZ1B,cust_01KMV644TQNTS02XKWZJVCQSJH,3290,usd,2026-03-28T21:38:17Z,2026-04-01T00:00:00Z
