invoice_id,subscription_id,customer_id,amount_due,currency,period_start,period_end
inv_01KMYTBJ1C1VXGQV55KNHXQR11,subs_01KG4S59RV64KB56ZC23GH2FZG,cust_01KFB8ZEPPT7HE8RXDR90CV14Y0,29666.93,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYTETPV1MHN0RV8S64VP5AB,subs_01KG4TPRX8WNRQVPWVSPV4BAX5,cust_01KFB88PEZFMYKBZZ5QSE421NE0,38929.49,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYTF8RH8ZB2K1RC1DNTGKPT,subs_01KKHHWH62TRGZX8AASRZBEP0C,cust_01KFB88YMPA498VE1TZ6WJ51QV0,26875,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYTHTYZ7V65FYM00GSSVX35,subs_01KG4TJG9Z1B7FECDB2GSP751Y,cust_01KFB88YMPA498VE1TZ6WJ51QV0,54406.67,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYTJA2EVB86D2EVA6THS3X0,subs_01KMG7FP14PV7G3ER931281CGC,cust_01KFB88RMC2AXWGB52PYM09RFC0,20000,usd,2026-03-07T00:00:00Z,2026-04-07T00:00:00Z
inv_01KMYTNTGJZQ4EGVVQEAK6GTY5,subs_01KG4QGVF96MJMQRFMDAX3CAXF,cust_01KFB88RMC2AXWGB52PYM09RFC0,11892.9,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYTSH96X0Q0P1N5QFRMKPM3,subs_01KG4TNY1SV3W6A46X1FEPWF8V,cust_01KFB896D9DNE06CA6F04C6HEP0,4766.43,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYTX92P61MN0WVXXDGDRY87,subs_01KG4TNK45PVR6837P7WPSZMTN,cust_01KFB89PPB4RDCQ2YTPBXGNEZV0,92146.86,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYV0VNDFT0HJ3HAB7D8TJBR,subs_01KKETA45K4Y2A7FSFREXNN9ST,cust_01KFB8A3JHXNK8QVEZJ5WJ7KPK0,14226,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYV18P4S8BSJG31A0N19FV5,subs_01KKEFD86XSFR0KMKZDVR9ET1Q,cust_01KFB8A3JHXNK8QVEZJ5WJ7KPK0,12500,usd,2026-03-25T00:00:00Z,2026-04-25T00:00:00Z
inv_01KMYV4NRJG4QTK1FAGC2FQJ93,subs_01KKETBCTWMHEVCJCREF8CRVSW,cust_01KFB8A255R5FPF6TW0E0YSEH00,20467.13,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYV8BHTNV82TVWZ06H4CYBK,subs_01KG4TJJRG4KXH34Z195AWBYXG,cust_01KFB89WXCXX2TT2PJHGHJMY600,353.18,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYV932TRVT870V956FG587H,subs_01KMG7HZZRPE5NBXM6YT02KXC0,cust_01KFB89JEFYM6VV5HHPK1B79N50,30000,usd,2026-03-16T00:00:00Z,2026-05-16T00:00:00Z
inv_01KMYVCYWSYNDNJQ9100N9FCA7,subs_01KG4TFTG8Y5F8WNJEVRTT4T49,cust_01KFB89JEFYM6VV5HHPK1B79N50,2806.27,usd,2026-03-16T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYVGQ3K3641X3J5EN6N7D0Y,subs_01KG4TN5QHF1RQFH34DWCNCYWF,cust_01KFB8AZV7N264ZY19FCXR7JAF0,8477.67,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYVM1F3WMC1D51VHVNRJRZP,subs_01KKEW2GPV8N0E8QPMHSYZ703N,cust_01KFB8AQA16XWTD7RCNSCH3NNG0,0,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYVNENFDD0DEW1C7RMMFGQW,subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,8112.98,usd,2026-03-08T00:00:00Z,2026-04-08T00:00:00Z
inv_01KMYVTWDSAGTMWX4QAZZ1BRBZ,subs_01KG4TN4P4DXB7HXSTKX7ZQ70D,cust_01KFB8BC13KKBEAP0FTY40AQTP0,152605.61,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYVXBXW362FKX7WFJ53ZWC1,subs_01KG4TH3WB5SC4QS3QJ50YG33F,cust_01KFB8ERXHATWFMK0VJ18245EF0,14800.12,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYVZGMVZXSJGNT8P03R33Q4,subs_01KKETAX8GGHXKGRH40K4VE2Y0,cust_01KFB8EDFF6371BF1D7ZCAWMVF0,206.35,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYW1MRX84RY8B6JX6KMEASJ,subs_01KG4TRXR6NW24WM0Z68T8HWH9,cust_01KFB8PVNRZDWXAM9A31H25GR10,3226.27,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYW4G1BFFMN4Z6MH7N30REP,subs_01KG4THB4PNXSVPSMXY9EKSNZP,cust_01KFBHEB0JHY5ARCVJW3PP37HT0,63.48,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYW6810F5QK15F9Z88Y1WC7,subs_01KG4TW2MBVZGNTK3ZXSKE909D,cust_01KFDBHQ5HVYEXGK2NETSTEK3C0,2.1,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYW886BBZ5CGQP6NXMK58MA,subs_01KG4W77DEH47QVZXKR6JZ8PD7,cust_01KFDM9MJHHB3CT1WD9MQFMN6M0,0.98,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYW9KMB9W01QSJ6N1NH6Y7E,subs_01KG4WWQA4E8HKBYYB8A0Z4686,cust_01KFN7QPCXQK7D4H72EDN3T3PJ0,0,usd,2026-03-10T00:00:00Z,2026-04-10T00:00:00Z
inv_01KMYWBJTSGG3MCSEFJQZW3567,subs_01KG4TGD0WCZNYTZD9H5B8BZ3G,cust_01KFBFWVGQ0V6813V016GGH43V0,4.62,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYWCTWM2YNQ0XAPFE6QVXM7,subs_01KK2C8S0SKP1766YX07DAQ301,cust_01KK2C8RWX94RN2E795A2M9XWS,0,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
inv_01KMYWE7C6F5MPAWV3GQJXRD4P,subs_01KKEW5QH4F69P1BCXF5KNQ4XX,cust_01KK2C8ZNEK2GXWSPW8F7TY35S,0,usd,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z
