subscription_id,customer_id,plan_id,billing_period,period_start,period_end,subscription_start,subscription_end,invoice_id
subs_01KG4TGXEG16N46ZBVWBVAWA61,cust_01KFB8EMSYGXPTAEAGRP0BJ58J0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-17,2026-12-17,inv_01KMZY1VWVBG2DX17H8TEMS2SV
subs_01KG4TH3WB5SC4QS3QJ50YG33F,cust_01KFB8ERXHATWFMK0VJ18245EF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-05,2027-02-05,inv_01KMZY24BH26MC5TFB5ERT6MCQ
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-10-01,2025-11-01,2025-09-08,2026-09-08,
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-11-01,2025-12-01,2025-09-08,2026-09-08,
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-09-08,2026-09-08,
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-09-08,2026-09-08,inv_01KMZY5RV4ZYR5HNX4CB4CWH31
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-09-08,2026-09-08,inv_01KMZY77P6PD7EX87XQYV28RST
subs_01KG4TH5DA7YJ498EJZNF9CNP1,cust_01KFB8B5JQB98NMCSWBZPXZ9JM0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-08,2026-09-08,inv_01KMZY8N5ABG2VKT3SZKVM4NP9
subs_01KG4THB4PNXSVPSMXY9EKSNZP,cust_01KFBHEB0JHY5ARCVJW3PP37HT0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2026-02-20,2027-02-20,inv_01KMZY3CMG3DDRTZFGPZWAATTJ
subs_01KG4THBRXSBJBBKEKHXDCX7K6,cust_01KFB8E73PY9ZAGSEHRYAK8YT10,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-30,2026-09-30,inv_01KMZY4K4J92ZB9JJ25BMKV7WG
subs_01KG4THQ09VST66GTPAY2MM09P,cust_01KFB87WPFQMSZVA0PFE71XCX90,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-20,2026-11-20,inv_01KMZY5TPZ7QG9XXRCZAH60JFF
subs_01KG4TJG9Z1B7FECDB2GSP751Y,cust_01KFB88YMPA498VE1TZ6WJ51QV0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-09-01,2026-09-01,inv_01KMZY6AZZM8P16NZMK1324AR6
subs_01KG4TJJRG4KXH34Z195AWBYXG,cust_01KFB89WXCXX2TT2PJHGHJMY600,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-08-29,2026-08-29,inv_01KMZY811XFAATJ3H1EMM28V1F
subs_01KG4TK2QKP4X1TZRDJEMYPT7H,cust_01KFB8BD6AQGJFAR5YY5V3TDWC0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-11-07,2026-11-07,inv_01KMZY8D640449HB8YPVQVE1B4
subs_01KG4TK32QGW5DQ3SZX6FTY89Y,cust_01KFBNR7TKKMW0Q45D6443NG550,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-12-22,2026-12-22,inv_01KMZY8SB3F8WCFJ82ZXQMRQX8
subs_01KG4TK32QGW5DQ3SZX6FTY89Y,cust_01KFBNR7TKKMW0Q45D6443NG550,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-12-22,2026-12-22,inv_01KMZYAC5HGKZH3QXJP32VTKE8
subs_01KG4TK32QGW5DQ3SZX6FTY89Y,cust_01KFBNR7TKKMW0Q45D6443NG550,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-22,2026-12-22,inv_01KMZYC7ATK48MB87A16XC3074
subs_01KG4TK734PZ0T3Q3DRM5XE61P,cust_01KFB8CFBANKV79TQ2NWGN5ABG0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-10-28,2026-10-28,inv_01KMZY9TFZSMMWP9HBJ8DCEEPG
subs_01KG4TKE1MQ7R78XMWTRC4K46D,cust_01KFBNPV0EFKDXG08ERH4D7FR00,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-03-01,2026-03-30,2025-12-01,2026-12-01,inv_01KMZYAA8G60X72ZBQF8F6RJDM
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2025-12-01,2026-01-01,2025-11-27,2026-11-27,
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-01-01,2026-02-01,2025-11-27,2026-11-27,inv_01KMZYC6VD890WN840MYT6TRSX
subs_01KG4TKQEDM8XRHZ815X03Q3ZT,cust_01KFB89EV99Z834X4EKZ03ERCF0,plan_01KG4EKKNG0NMDQBAJW05ENGE4,MONTHLY,2026-02-01,2026-03-01,2025-11-27,2026-11-27,inv_01KMZYE53SMJDTKH2DBEHJJQX4
