customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KEKWE67GMX2GSPB54C35T9PV,subs_01KEKWE6J9THZPFK1TK8WV83SY,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,1280.650000,,1280.65,false
cust_01KEKWE6ATXCDR0H0G8QMAH3RQ,subs_01KEKWE6J5A0VARYZHVJY773X1,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,711.100000,,711.1,false
cust_01KEKWE56WBY3PZV19P3ZABPX9,subs_01KEKWE5BRF3VW1Q02WDJHWK2J,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,170.530000,,170.53,false
cust_01KEKWE43YVAEY2SY1Q2V3AMT9,subs_01KEKWE4923BV22JKFX75N60N0,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,20703.720000,,20703.72,false
cust_01KEKWE3P3XB5T7JW9170Q09JP,subs_01KEKWE3VWBKJ4R323A7XWWXSM,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,303.540000,,303.54,false
cust_01KEKWE34N7PTXZ2X590HC1Y3S,subs_01KEKWE39PE24RM87WBMQQPCFB,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,6947.480000,,6947.48,false
cust_01KEKWE1XK40E3TPG9X26GYTGZ,subs_01KEKWE24EA1V83CSHZ6QR7E2Z,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,311.450000,,311.45,false
cust_01KEKWE1V4W7AEJHVR6PT57SB4,subs_01KEKWE20R4F0153E20VGQ5HNK,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,53.200000,,53.2,false
cust_01KEKWE1HY2A6SJ413J3DQEMEB,subs_01KEKWE1SRJCPXVR93RNX59SJ2,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,1948.380000,,1948.38,false
cust_01KEKWE1AAJK1Y629QMJ84B6A5,subs_01KEKWE1K5DD4QPABXP9VG961T,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,170.530000,,170.53,false
cust_01KEKWE0MG8WEF4WDAQ0MMQT4R,subs_01KEKWE0TZ4VTK0Q70G5JTRS12,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,6341.820000,,6341.82,false
cust_01KEKWE02RVWF16ZTWW7AT3NJ9,subs_01KEKWE09EAQ2HXG7H4K1Q6FNE,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,170.530000,,170.53,false
cust_01KEKWE00PMGF6FSQ4H4BBGHTN,subs_01KEKWE081934RTW02GQEY62FP,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,53.200000,,53.2,false
cust_01KEKWDXS79QTY2GNC5W0J7VAA,subs_01KEKWDY0EZP741B0QJRH2WV22,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,136878.880000,,136878.88,false
cust_01KEKWDXA54DSM3HY23VN415NZ,subs_01KEKWDXFH6KGTCAXQS9PARYV6,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,170.530000,,170.53,false
cust_01KEKWDXA41VRNMXSBMA019AA9,subs_01KEKWDXF8PKAPSQHVA5D7EJPN,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,170.530000,,170.53,false
cust_01KEKWDXAJT01XP0SH5W9R0Y9G,subs_01KEKWDXE9PYWWE0RRGDMRPG5G,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,1500.620000,,1500.62,false
cust_01KEKWDVSMZQ1X3BKB6M0E9FCB,subs_01KEKWDVXNR3EJC4C4J5C88XX1,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2508.700000,,2508.7,false
cust_01KEKPJBG0QQ367T92HYHR4658,subs_01KEKPJC158A5M8VG09BCFMAWS,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,364.100000,,364.1,false
cust_01KEKPHWZF7BFMGR8H20QEP04R,subs_01KEKPHX73QNVX2FB5YAA2S2MV,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.220000,,0.22,false
cust_01KEKPHKFFZ4MR56NMS1JWYY4G,subs_01KEKPHKPFAG3GQB5V8NF06MFD,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,405.050000,,405.05,false
cust_01KEKPHJCPTM9Y6KH5721FZ86A,subs_01KEKPHJKA432X2W11CTY5WANG,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,4.350000,,4.35,false
