customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KJ2RPXWD9R3PJ69RK373SYXF,subs_01KJ2RPY2KRSX879Q6HSC8RTYN,inv_01KJKB8JGRMQM0RVSF0G8J5Z4E,2026-02-22T13:30:35Z,2026-03-01T00:00:00Z,571.38,571.38,0.00,true
cust_01KJ22WF4VA2DZCECZ874GKGVV,subs_01KJ22WFAGKTW81JVM0JDMZTZY,inv_01KJKEJ9NXJ1X5J7D7KTWHBMJM,2026-02-22T07:09:08Z,2026-03-01T00:00:00Z,44.73,44.73,0.00,true
cust_01KJ1KGCCVTEYZR9NCH32885GJ,subs_01KJ1KGCJ4F88414ZSYTVR8FMK,inv_01KK9CHJETSZKFESAM7CKX1JQ4,2026-02-22T02:40:24Z,2026-03-01T00:00:00Z,212.37,212.36,0.01,true
cust_01KHZYDTRH7E2D1P0ZGMQDTGE2,subs_01KHZYDTYHT66VEZVX2XP9ZRHD,inv_01KJKB5AT4TKSGJ1Y4JS31EW22,2026-02-21T11:12:45Z,2026-03-01T00:00:00Z,51.13,51.13,0.00,true
cust_01KHZV9QEQREM3N65Q4JYA9AYR,subs_01KHZV9QMJ3HXKMVA4V9GRXWTM,inv_01KJKB56ZPWF1BS863DMP8YY67,2026-02-21T10:18:05Z,2026-03-01T00:00:00Z,50.58,50.58,0.00,true
cust_01KHZF2FYRSXAFF2WBPFKWMW1P,subs_01KHZF2G6687P20A4AF48DY71A,inv_01KJKB7C7TY34KY60J4A7MMNYC,2026-02-21T06:44:25Z,2026-03-01T00:00:00Z,432.23,432.23,0.00,true
cust_01KHZ1EVZR56J0KJYG8X6FMXMH,subs_01KHZ1EW4YD8ZCV7ENNXB3RJ3X,inv_01KJKB5EKM2ARVH18YSEFM26Q3,2026-02-21T02:46:31Z,2026-03-01T00:00:00Z,102.98,102.98,0.00,true
cust_01KHZ5QC69D78WCAZDD0K1Y6BE,subs_01KHZ5QCDBJK8TBYKEHS3J0JZE,inv_01KK9CG28XYRP5ERJK5MZZJNWJ,2026-02-21T04:01:04Z,2026-03-01T00:00:00Z,414.91,414.90,0.01,true
cust_01KHY2GWK3WBCTR5TF0ZE1G6GA,subs_01KHY2GWT2T3KCH7V93WN6A3DF,inv_01KJKB5NHR9Z9155B1R428NMFK,2026-02-20T17:45:51Z,2026-03-01T00:00:00Z,0.02,0.02,0.00,true
cust_01KHXGCCPBD3WA7CPN5D3HWWF5,subs_01KHXGCCW1R9V6P6DECRM3NR3B,inv_01KJKB7QYC0YW7JA51GNA1NFEA,2026-02-20T12:28:49Z,2026-03-01T00:00:00Z,224.57,224.57,0.00,true
cust_01KHXCMJAVXGJY0QN491VX6P5Q,subs_01KHXCMJHASTFRBNZRJ4V719CZ,inv_01KK9DBE8B22N5H7R9A3C1S1RC,2026-02-20T11:23:23Z,2026-03-01T00:00:00Z,254.54,254.54,0.00,true
cust_01KHX4WP9TV8BWNMCFVHN3YSNS,subs_01KHX4WPG5ATNAR5QV27HQ6YV7,inv_01KJKB9M9PGJFCGWZNQ11ZQ035,2026-02-20T09:08:01Z,2026-03-01T00:00:00Z,129.34,129.35,-0.01,true
cust_01KHWJMVFX490R1KP92YGK1W70,subs_01KHWJMVPMZV34SWYNV41Y1X1A,inv_01KJKEJFXZC02DZQ27TCRXM0BT,2026-02-20T03:49:09Z,2026-03-01T00:00:00Z,156.83,156.82,0.01,true
cust_01KHVEN9E73NZJC0355K8VT9TK,subs_01KHVEN9MZS04D3GKR3NB6CNTG,inv_01KJKB8ZGN1NZV5GPSXHH0NN2G,2026-02-19T17:20:15Z,2026-03-01T00:00:00Z,61.82,61.82,0.00,true
cust_01KHVG663RMEM20R5WKC3RYV0S,subs_01KHVG665S745426MP0PJ7TN2A,inv_01KJKEJFV3N2BCZPX3Q1WZ40YV,2026-02-19T17:46:57Z,2026-03-01T00:00:00Z,1044.13,1044.13,0.00,true
cust_01KHVCZ7GV29P9430F7PXR85RF,subs_01KHVCZ7PECZWBXDSAERX5EZTF,inv_01KJKB9802ESRKTSM88RMN14R1,2026-02-19T16:50:44Z,2026-03-01T00:00:00Z,165.61,165.60,0.01,true
cust_01KHV6BDSZE0MD8YGV800S0YVM,subs_01KHV6BDZG4XSB827RS71T122W,inv_01KJKB8STSCA25XG0A2AP7ZQ1C,2026-02-19T14:55:03Z,2026-03-01T00:00:00Z,21.81,21.81,0.00,true
cust_01KHV4JRBP4VPHTV4S62DM4F7X,subs_01KHV4JRJ77NBWMGNN1J2CZ4T8,inv_01KJKB9A4NBCV1RDSPKMK92HH4,2026-02-19T14:24:06Z,2026-03-01T00:00:00Z,872.11,872.12,-0.01,true
cust_01KHTQWG6E717QQYNQZV55V8X6,subs_01KHTQWGARYQR5TW403JSQG1KT,inv_01KJKB5V3Q707W927EXDQGFPAV,2026-02-19T10:42:14Z,2026-03-01T00:00:00Z,0.23,0.23,0.00,true
cust_01KHTBJS6BM4NT7AC9T56EA9C2,subs_01KHTBJSDNMRK4A5WR75S32M6H,inv_01KJKB5QY0332TKZWRWMVZBRQD,2026-02-19T07:07:13Z,2026-03-01T00:00:00Z,210.71,210.71,0.00,true
