customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated,sub_current_period_start,sub_current_period_end,sub_start_date,billing_anchor,existing_invoice_id,existing_invoice_status
cust_01KFP070NAR9QTJAVKQ7Q6M3GQ,subs_01KFP070PC116Q7TGXS7PGP7H2,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,280902.720000,,280902.72,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-23T00:00:00Z,2026-02-01T00:00:00Z,,
cust_01KEEMVHPX6PSNCAM76PDR9XWT,subs_01KEEMVHQZWE3N3QVGGYJDDKF1,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,280413.500000,,280413.50,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2026-01-08T00:00:00Z,2026-02-01T00:00:00Z,,
cust_01KCTG2XZRRTE7SMH236W3PAK4,subs_01KCTG2Y0V333T03B4VK4XSXSQ,,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,9260.320000,,9260.32,false,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,2025-12-19T00:00:00Z,2026-01-01T00:00:00Z,,
