customer_id,subscription_id,invoice_id,period_start,period_end,analytics_amount,invoice_subtotal,diff,invoice_generated
cust_01KC8KTN1V5GCFW7V10DENQJ6R,subs_01KC8KTN2QKPCKHB3EXA6AYQCF,inv_01KJN0SDNQ1C05898CX0AWQXBP,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,9.43,9.43,0,TRUE
cust_01KC8KTN1V5GCFW7V10DENQJ6R,subs_01KC8KTN2QKPCKHB3EXA6AYQCF,inv_01KGBBWKEXH5WC8Q4DV6KNM34N,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,11737.93,95.53,11642.4,TRUE
cust_01KBJ16J4H3CFW065MSD3EZFAS,subs_01KBJ16J5AHYY8EMA7F13DHVT6,inv_01KJN23KQ3KYXAFC5KHWX5QB3A,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,4.95,4.95,0,TRUE
cust_01KBJ16J4H3CFW065MSD3EZFAS,subs_01KBJ16J5AHYY8EMA7F13DHVT6,inv_01KGBD660ZAQYBZKX433CARV0G,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,0.01,0.01,0,TRUE
cust_01KAZZVH1MJ1K3GEQHZFM1EJ48,subs_01KAZZVH2Q6MZAR0S62A3JSKCN,inv_01KJN1BQ2RPZB5DD7WTZ442PKQ,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.77,0.76,0.01,TRUE
cust_01KATTGWW4SCZ26WE2CWHXWHVP,subs_01KATTGWX01AMCJ0QPRNFPG01P,inv_01KJN0SM4VR9VQ3C2HWN6JE68C,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,1395.13,1395.13,0,TRUE
cust_01KAWPFF548CT0GKC61CJHS7DF,subs_01KAWPFF685ZBBS3CSK6NN0MSH,inv_01KJN0SV4A322CY8G8FCFBNETG,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,2.66,2.66,0,TRUE
cust_01K74889ARQ866QAA8G6GHAAVR,subs_01K74889BJ207KX1SZ76DPYYB4,inv_01KGC2KTP2X3847A8B3AXEVK5W,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,4377.41,4393.59,-16.18,TRUE
cust_01K6YST11K4SSVZZY1RB4RAWM5,subs_01K6YST12F63C5Y4NX4TSZ6VSX,inv_01KJN1BX999RXDRE7Q6WJTP60J,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,0.53,0.53,0,TRUE
cust_01K6X7X9XZ21DV1HGN4YA3Y5Q9,subs_01K6X7X9YT5ZSNBRF0PBH3CGB7,inv_01KGBC017G3ZBA57GXCMSXSEZA,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,1.58,1.59,-0.01,TRUE
cust_01K6X7E6G6C3C12BEX5FMYBS6G,subs_01K6X7E6H3WTE9A53EV3HKWMY1,inv_01KGBC01SEWK669V4KYFNM5S1Q,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,73.38,73.38,0,TRUE
cust_01K6Z1T432SPQ9S487E7ZMY0R5,subs_01K6Z1T43ZFPRAB4XYK2KPVPQ2,inv_01KJN6B2SHZF1MW06992197NGQ,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,7814359.15,7814475.02,-115.87,TRUE
